idnumber,name,username,password,type
0123458,"Student, Student A",0123458,0123458,undergraduate
0123459,"Student, Student B",0123459,0123459,graduate
0123460,"Student, Student C",0123460,0123460,undergraduate
0123461,"Student, Student D",0123461,0123461,graduate
0123462,"Student, Student E",0123462,0123462,undergraduate
0123463,"Student, Student F",0123463,0123463,graduate
0123464,"Student, Student G",0123464,0123464,undergraduate
0123465,"Student, Student H",0123465,0123465,graduate
0123466,"Student, Student I",0123466,0123466,undergraduate
0123467,"Student, Student J",0123467,0123467,graduate
